"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 14 20:05:44 GMT 2023","Fri Jul 14 20:05:54 GMT 2023","10317","firefox","main.spec.ts","","","","Form Delete",""
"skipped","Fri Jul 14 20:05:28 GMT 2023","Fri Jul 14 20:05:28 GMT 2023","1","firefox","main.spec.ts","","","","Forms Sync. with WP Site",""
"skipped","Fri Jul 14 20:05:54 GMT 2023","Fri Jul 14 20:05:54 GMT 2023","1","firefox","main.spec.ts","","","","List Delete",""
"passed","Fri Jul 14 20:05:26 GMT 2023","Fri Jul 14 20:05:26 GMT 2023","326","firefox","main.spec.ts","","","","Inline Form Create",""
"passed","Fri Jul 14 20:05:25 GMT 2023","Fri Jul 14 20:05:26 GMT 2023","751","firefox","main.spec.ts","","","","Subscriber Update",""
"passed","Fri Jul 14 20:05:26 GMT 2023","Fri Jul 14 20:05:27 GMT 2023","651","firefox","main.spec.ts","","","","Forms Update",""
"skipped","Fri Jul 14 20:05:54 GMT 2023","Fri Jul 14 20:05:54 GMT 2023","0","firefox","main.spec.ts","","","","Subscriber Delete",""
"passed","Fri Jul 14 20:05:24 GMT 2023","Fri Jul 14 20:05:24 GMT 2023","322","firefox","main.spec.ts","","","","Subscriber Create",""
"skipped","Fri Jul 14 20:05:28 GMT 2023","Fri Jul 14 20:05:28 GMT 2023","0","firefox","main.spec.ts","","","","Forms Added into Site Frontend",""
"passed","Fri Jul 14 20:05:24 GMT 2023","Fri Jul 14 20:05:25 GMT 2023","752","firefox","main.spec.ts","","","","Subscribers List",""
"passed","Fri Jul 14 20:05:38 GMT 2023","Fri Jul 14 20:05:44 GMT 2023","5801","firefox","main.spec.ts","","","","Duplicate a Campaign & Send",""
"passed","Fri Jul 14 20:05:22 GMT 2023","Fri Jul 14 20:05:22 GMT 2023","504","firefox","main.spec.ts","","","","Login",""
"passed","Fri Jul 14 20:05:28 GMT 2023","Fri Jul 14 20:05:30 GMT 2023","2891","firefox","main.spec.ts","","","","Sending Gateway Connect",""
"passed","Fri Jul 14 20:05:23 GMT 2023","Fri Jul 14 20:05:23 GMT 2023","325","firefox","main.spec.ts","","","","List Update",""
"passed","Fri Jul 14 20:05:26 GMT 2023","Fri Jul 14 20:05:26 GMT 2023","321","firefox","main.spec.ts","","","","Modal Form Create",""
"passed","Fri Jul 14 20:05:23 GMT 2023","Fri Jul 14 20:05:23 GMT 2023","318","firefox","main.spec.ts","","","","Lists of List",""
"passed","Fri Jul 14 20:05:30 GMT 2023","Fri Jul 14 20:05:32 GMT 2023","1309","firefox","main.spec.ts","","","","Set Default Sender",""
"passed","Fri Jul 14 20:05:23 GMT 2023","Fri Jul 14 20:05:24 GMT 2023","303","firefox","main.spec.ts","","","","List Details",""
"passed","Fri Jul 14 20:05:27 GMT 2023","Fri Jul 14 20:05:28 GMT 2023","715","firefox","main.spec.ts","","","","Form Sync with Frontend",""
"skipped","Fri Jul 14 20:05:28 GMT 2023","Fri Jul 14 20:05:28 GMT 2023","1","firefox","main.spec.ts","","","","Form Submission from Frontend",""
"skipped","Fri Jul 14 20:05:28 GMT 2023","Fri Jul 14 20:05:28 GMT 2023","1","firefox","main.spec.ts","","","","Subscriber's info - Signed up through Form",""
"skipped","Fri Jul 14 20:05:44 GMT 2023","Fri Jul 14 20:05:44 GMT 2023","0","firefox","main.spec.ts","","","","Campaign Delete",""
"passed","Fri Jul 14 20:05:32 GMT 2023","Fri Jul 14 20:05:33 GMT 2023","1455","firefox","main.spec.ts","","","","Campaign Create",""
"passed","Fri Jul 14 20:05:33 GMT 2023","Fri Jul 14 20:05:38 GMT 2023","4967","firefox","main.spec.ts","","","","Campaign Send",""
"passed","Fri Jul 14 20:05:22 GMT 2023","Fri Jul 14 20:05:23 GMT 2023","346","firefox","main.spec.ts","","","","List Create",""
